neighborhood,postal_town,locality,administrative_area_level_1,country,postal_code
,,Cork,County Cork,Ireland,
Aghacurreen,,Farnaught,County Roscommon,Ireland,
Headford,,Headford,County Galway,Ireland,
Kingswood,Dublin 24,,County Dublin,Ireland,D24 EP98
,,Limerick,County Limerick,Ireland,
,,Dublin,County Dublin,Ireland,D04 W2W9
Kilbeg,,Kildangan,County Kildare,Ireland,W34 NV62
Rush Demesne,,Rush,County Dublin,Ireland,K56 RP29
Rush Demesne,,Rush,County Dublin,Ireland,K56 RP29
Rathmichael,Dublin 18,,County Dublin,Ireland,
Knockanoura,,Ennis,County Clare,Ireland,V95 EPC0
Aghowle Lower,,Bromley,County Wicklow,Ireland,
,,Ashbourne,County Meath,Ireland,
Ballindeenisk,,Belgooly,County Cork,Ireland,P17 W244
Ballard,,Laragh,County Wicklow,Ireland,
Ballybough,Dublin 9,,County Dublin,Ireland,D09 HW56
Yellow Walls,,Malahide,County Dublin,Ireland,K36 HY48
Montenotte,,Cork,County Cork,Ireland,
Cahernane,,Killarney,County Kerry,Ireland,
Townparks,,Newtown Forbes,County Longford,Ireland,N39 A270
Abbeyquarter South,,Sligo,County Sligo,Ireland,F91 HE3E
Gayfield,,Tullamore,County Offaly,Ireland,
Headfort Demesne,,Kells,County Meath,Ireland,A82 N8N3
,,Rose Hill,County Kilkenny,Ireland,R95 P0E9
Nenagh North,,Nenagh,County Tipperary,Ireland,E45 RW59
Riverstown,,Glanmire,County Cork,Ireland,T45 HH29
Riverstown,,Glanmire,County Cork,Ireland,T45 HH29
Broomfield,,Malahide,County Dublin,Ireland,K36 KV05
Coolfadda,,Bandon,County Cork,Ireland,
Ballybough,Dublin 3,,County Dublin,Ireland,D03 V9H2
Lissyviggeen,,Lissivigeen,County Kerry,Ireland,
Kilbeg,,Walsh Island,County Offaly,Ireland,
,,Tramore,County Waterford,Ireland,X91 XR27
Cregganna Beg,,Creganna Beg,County Galway,Ireland,
,Dublin 4,,County Dublin,Ireland,D04 FR60
Knockanrahan Lower,,Arklow,County Wicklow,Ireland,
Carrowbunnaun,,Ocean Links,County Sligo,Ireland,
Rathmines,Dublin 6,,County Dublin,Ireland,
,,Cork,County Cork,Ireland,T23 H7VT
,Dublin 7,,County Dublin,Ireland,D07 W3F4
,,Kinsale,County Cork,Ireland,
Kilmichael West,,Sand Road,County Cork,Ireland,
Kilconny,,Belturbet,County Cavan,Ireland,H14 AK31
Marlinstown,,Mullingar,County Westmeath,Ireland,N91 E6W6
Curravarahane,,,County Cork,Ireland,
Intake,,Blackrock,County Dublin,Ireland,
Rathmines,Dublin 6,,County Dublin,Ireland,D06 TY04
Ballymacoda,,Ballymacoda,County Cork,Ireland,
Waters-Land South,,Kinsale,County Cork,Ireland,P17 K309
Clonroosk,,Portlaoise,County Laois,Ireland,R32 FKX8
,,Waterford,County Waterford,Ireland,X91 DFY0
,,Waterford,County Waterford,Ireland,X91 DFY0
Chambersland,,New Ross,County Wexford,Ireland,Y34 HT96
,,Galway,County Galway,Ireland,H91 W8FW
Lifford,,Ennis,County Clare,Ireland,V95 F6C1
Cross,,Cross,County Clare,Ireland,V15 XV22
,Dublin 4,,County Dublin,Ireland,D04 W2V1
Ballylannidy,,Ennis,County Clare,Ireland,V95 C56A
,,Theur,County Sligo,Ireland,
,,Dublin,County Dublin,Ireland,D02 H522
,,Dublin,County Dublin,Ireland,
Quignalecka,,Ballina,County Mayo,Ireland,F26 ECF4
Rathmines,Dublin 6,,County Dublin,Ireland,D06 W2P7
,,Galway,County Galway,Ireland,H91 K6NW
Ballyhack,,Upper Ballyhack,County Wexford,Ireland,
,Dublin 8,,County Dublin,Ireland,D08 CDE5
Saint James' (part of Phoenix Park),Dublin 8,,County Dublin,Ireland,D08 TRC6
Furgill,,Furrigal,County Mayo,Ireland,
Droughill,,Portarlington,County Laois,Ireland,R32 WF21
Brownsmills,,,County Cork,Ireland,
Burrow,,Portmarnock,County Dublin,Ireland,D13 DC91
Burrow,,Portmarnock,County Dublin,Ireland,D13 EC95
Pikesland,,Barrells Crossroads,County Cork,Ireland,
,,Dublin,County Meath,Ireland,D15 XE8R
Youghal-Lands,,Youghal,County Cork,Ireland,
Knockanean,,Ennis,County Clare,Ireland,V95 NF2V
Claureen,,Ennis,County Clare,Ireland,V95 V4X9
Fairyhill,,Portumna,County Galway,Ireland,H53 RX38
,,Dromahair,County Leitrim,Ireland,F91 Y4A8
Douglas,,Cork,County Cork,Ireland,
Rathdown Lower,,Greystones,County Wicklow,Ireland,A63 CY60
,,Dublin,County Dublin,Ireland,
Shrulegrove,,Joyces Park,County Galway,Ireland,
Ballycarroll,,Portarlington,County Laois,Ireland,R32 T9N6
,,Ennis,County Clare,Ireland,
Tromra,,Trumra,County Longford,Ireland,
Longstones,,Mullary,County Louth,Ireland,
Kilmalogue,,Portarlington,County Offaly,Ireland,R32 T6V6
Montenotte,,Cork,County Cork,Ireland,
Mosestown,,Whitegate,County Cork,Ireland,P25 KD35
Saintkierans,,Saint kieran'S,County Wexford,Ireland,
Carrigaline Middle,,Carrigaline,County Cork,Ireland,P43 A303
Rotunda,Dublin 1,,County Dublin,Ireland,
Greenfield,,Ballincollig,County Cork,Ireland,P31 YX20
,,Cork,County Cork,Ireland,T23 W6R3
Clooncorick,,Carrigallen,County Leitrim,Ireland,H12 WD82
Kilbogget,,Killiney,County Dublin,Ireland,A96 N4F3
,,Waterford,County Waterford,Ireland,
Cloghmacsimon,,Bandon,County Cork,Ireland,P72 FX08
Whitehall,Dublin 14,,County Dublin,Ireland,D14 VP93
Ballinamona,,Castlewoods,County Waterford,Ireland,X91 TPF7
Ballycasheen,,Killarney,County Kerry,Ireland,
,,,County Carlow,Ireland,
Tullamore,,Tullamore,County Offaly,Ireland,R35 C624
,Dublin 1,,County Dublin,Ireland,
Millicent Demesne,,Millicent,County Kildare,Ireland,
Clontarf,Dublin 3,,County Dublin,Ireland,D03 Y0H1
Brownstown,,Lagore Cross,County Meath,Ireland,
Tonaphubble,,Sligo,County Sligo,Ireland,F91 F90H
Ballybough,,Dublin,County Dublin,Ireland,D03 Y9K2
Stripes,,The Stripe,County Kilkenny,Ireland,
Coolkirky,,Coolkirka,County Cork,Ireland,
Gowran,,Gowran,County Kilkenny,Ireland,R95 E020
Montenotte,,Cork,County Cork,Ireland,T23 YRD0
,Dublin 14,,County Dublin,Ireland,
,,Galway,County Galway,Ireland,H91 KXV3
,,Ovens,County Cork,Ireland,P31 K659
,,Dublin,County Dublin,Ireland,
Carrignagat,,Bantry,County Cork,Ireland,P75 A335
,,Carrigaline,County Cork,Ireland,P43 KX54
Cambrickville,,Dundalk,County Louth,Ireland,
Drummeenagh,,Castlebellingham,County Louth,Ireland,
Stradavoher,,Thurles,County Tipperary,Ireland,E41 X928
Lognafulla,,Thurles,County Tipperary,Ireland,E41 E9N2
Robswalls,,Malahide,County Dublin,Ireland,K36 AK00
Ballyspillane,,Killarney,County Kerry,Ireland,V93 DK4R
,,Dublin,County Dublin,Ireland,
St. John's Rath,,Gibbstown,County Meath,Ireland,
Sunday's Well,,Cork,County Cork,Ireland,
,,Dublin,County Dublin,Ireland,
,,Balbriggan,County Dublin,Ireland,K32 XA32
,,Waterford,County Waterford,Ireland,
Mucklagh,,Tullamore,County Offaly,Ireland,R35 C868
,Dublin 3,,County Dublin,Ireland,D03 VE08
,,Dublin,County Dublin,Ireland,
,,Castlegar,County Galway,Ireland,H91 F9VW
,,Roscam,County Galway,Ireland,
Dublin Docklands,,Dublin,County Dublin,Ireland,
Tullyglass,,Shannon,County Clare,Ireland,V14 TC97
Ballyloughmore,,Bellelake,County Waterford,Ireland,
Ballymun,Dublin 11,,County Dublin,Ireland,D11 HY95
Corralea West,,Tuam,County Galway,Ireland,
Carpenterstown,,Dublin,County Dublin,Ireland,D15 VH6X
,,Waterford,County Waterford,Ireland,
Ballynamony,,Ballinamoney,County Wexford,Ireland,
Clonroe Lower,,Clonroe,County Wexford,Ireland,
Leopardstown,,Stillorgan,County Dublin,Ireland,A94 YW68
,,Dunboyne,County Meath,Ireland,A86 F449
Kilcock,,Boycetown,County Kildare,Ireland,W23 R6N4
Corporation Murragh,,Wicklow,County Wicklow,Ireland,A67 W270
Kilmainham,Dublin 8,,County Dublin,Ireland,D08 E4E3
Cabra East,Dublin 7,,County Dublin,Ireland,D07 VE80
,,Annacotty,County Limerick,Ireland,V94 Y9D8
Ballyraine,,Letterkenny,County Donegal,Ireland,F92 AVY1
Crehanagh South,,Crehana,County Waterford,Ireland,
Kilminchy,,Portlaoise,County Laois,Ireland,R32 HNT7
Saint Catherine's,Dublin 8,,County Dublin,Ireland,D08 RK22
,,Nohoval,County Cork,Ireland,
,,Carrigaline,County Cork,Ireland,
Raheen,,Limerick,County Limerick,Ireland,
,Dublin 13,,County Dublin,Ireland,D13 P890
,,Dublin,County Dublin,Ireland,
Warren,,Boyle,County Roscommon,Ireland,F52 VW63
Rathnaruogy,,Rathnarough,County Cork,Ireland,
Rathmines,Dublin 6,,County Dublin,Ireland,
Malahide,,Malahide,County Dublin,Ireland,
Bailis,,Navan,County Meath,Ireland,C15 YP6C
,Dublin 18,,County Dublin,Ireland,
Rathmines,,Dublin,County Dublin,Ireland,D06 N9W0
,Dublin 8,,County Dublin,Ireland,
Carrickcreeny,,Lough Sillan Lodge,County Cavan,Ireland,A81 KW58
Fartagh,,Lisduff,County Cavan,Ireland,
Dalkey,,Dalkey,County Dublin,Ireland,A96 KW57
Villierstown,,Cappoquin,County Waterford,Ireland,P51 RC65
Abbeyside,,Dungarvan,County Waterford,Ireland,X35 N923
Spaglen,,Mallow,County Cork,Ireland,P51 NX4W
Inchicore,Dublin 8,,County Dublin,Ireland,D08 W3P9
Fairyhill,,Portumna,County Galway,Ireland,
Moortown,,Aclare,County Kildare,Ireland,
Windmill,,Highfield,County Kildare,Ireland,
Whitehall,,Dublin,County Dublin,Ireland,D09 V9Y2
,,Dublin,County Dublin,Ireland,
Douglas,,Cork,County Cork,Ireland,T12 V5NR
Athronan,,Silverstream,County Meath,Ireland,
,,Cork,County Cork,Ireland,
Ballynerrin Lower,,Wicklow,County Wicklow,Ireland,
Ballymacmague West,,Ballincoush,County Waterford,Ireland,
Abbeyside,,Dungarvan,County Waterford,Ireland,X35 RY79
Gurranabraher,,Cork,County Cork,Ireland,T23 PTF7
Dunshaughlin,,Dunshaughlin,County Meath,Ireland,A85 K354
Teltown,,Teltown Road,County Meath,Ireland,
Ballinteer,Dublin 16,,County Dublin,Ireland,
Kilminchy,,Portlaoise,County Laois,Ireland,R32 N7CE
,Dublin 6W,,County Dublin,Ireland,D6W XY07
Usher's Island,Dublin 8,,County Dublin,Ireland,D08 XN67
Mountgorry,,Swords,County Dublin,Ireland,K67 A3F2
Gortroe,,Kylemore,County Galway,Ireland,
Deanestown,,Dublin,County Dublin,Ireland,
Coolfitch,,Newtown,County Kildare,Ireland,W23 C7HN
,,Dublin,County Dublin,Ireland,
Rathmines,Dublin 6,,County Dublin,Ireland,D06 P791
Lavinscartron,,,County Sligo,Ireland,
,,Dublin,County Dublin,Ireland,D04 V4P6
Castaheany,,Clonee,County Dublin,Ireland,D15 V8K1
Springfield,,Castlebar,County Mayo,Ireland,F23 E398
Illan Doo,,Kincaslough,County Donegal,Ireland,
Drumcondra,Dublin 9,,County Dublin,Ireland,D09 Y8N5
Brownstown,,Lagore Cross,County Meath,Ireland,
Whitehall,Dublin 9,,County Dublin,Ireland,D09 EA43
Kilmainham,Dublin 8,,County Dublin,Ireland,
Saint Catherine's,Dublin 8,,County Dublin,Ireland,D08 N9C5
Commeen,,Carrigaline,County Cork,Ireland,P43 FK12
Rochestown,,Cork,County Cork,Ireland,
,Dublin 11,,County Dublin,Ireland,D11 W5K2
The Liberties,Dublin 8,,County Dublin,Ireland,D08 V820
Drumgold,,Páirc Na Bearna,County Wexford,Ireland,Y21 D6Y2
,,Enniscorthy,County Wexford,Ireland,Y21 E2N1
Frenchfort,,Riverside,County Galway,Ireland,
Lakefield,,Cornagee,County Cavan,Ireland,
Drumcondra,Dublin 9,,County Dublin,Ireland,D09 H9D0
Sallaghagrane,,Letterkenny,County Donegal,Ireland,F92 T3C6
,Dublin 24,,County Dublin,Ireland,D24 N4V9
Dunaree,,Kingscourt,County Cavan,Ireland,A82 R2X7
Maulbaun,,Glenbrook,County Cork,Ireland,T12 KA6W
,Dublin 1,,County Dublin,Ireland,
,,Dublin,County Dublin,Ireland,D13 DK46
Ballsbridge,,Dublin,County Dublin,Ireland,D04 K5P0
Swords Demesne,,Swords,County Dublin,Ireland,
Dungory West,,Kinvarra,County Galway,Ireland,H91 EA8D
Scart,,,County Kerry,Ireland,
Walsheslough,,Rosslare,County Wexford,Ireland,Y35 WE10
Rahillion,,Dublin,County Dublin,Ireland,K36 YW01
Glasnevin,Dublin 11,,County Dublin,Ireland,D11 R8Y0
Townparks,,Wexford,County Wexford,Ireland,Y35 N7E5
,Dublin 24,,County Dublin,Ireland,D24 W584
Ballycurreen,,Cork Airport Business Park,County Cork,Ireland,
Rathmines,Dublin 6,,County Dublin,Ireland,D06 XW70
Crobally Lower,,Tramore,County Waterford,Ireland,X91 DK23
Coolmine,Dublin 15,,County Dublin,Ireland,D15 E6FT
,,Dublin,County Dublin,Ireland,D18 PA02
,,Rose Hill,County Kilkenny,Ireland,R95 N6T7
Cabra East,Dublin 7,,County Dublin,Ireland,
Taghmon,,Taghmon,County Wexford,Ireland,Y35 XD65
,,Dublin,County Dublin,Ireland,
Mardyke,,Cork,County Cork,Ireland,T12 CDF3
Donaghmede,Dublin 5,,County Dublin,Ireland,D05 K8H4
,Dublin 13,,Contae Bhaile Átha Cliath,Ireland,D13 NY97
Tankardstown,,Balbriggan,County Dublin,Ireland,K32 RR68
Palmerstown Lower,Dublin 20,,County Dublin,Ireland,
Ashtown,,Dublin,County Dublin,Ireland,D15 FWF3
Terramount,,Rathcormack,County Cork,Ireland,P61 W951
Ballalease North,,Donabate,County Dublin,Ireland,K36 NT98
,,Dublin,County Dublin,Ireland,D15 X7X0
,,Malahide,County Dublin,Ireland,
Malahide Demesne,,Malahide,County Dublin,Ireland,
Mabestown,,Malahide,County Dublin,Ireland,K36 A062
Cloghers,,Tralee,County Kerry,Ireland,V92 T1F6
Clontaff,,Páirc Na Fána,County Cork,Ireland,P81 AK79
,,Bantry,County Cork,Ireland,
Aghnakeeragh,,Tullyvinney,County Donegal,Ireland,
Kilmacurkan,,Kilmacurkin,County Sligo,Ireland,
Ballyroan,Dublin 16,,County Dublin,Ireland,D16 AR00
Kilpoole Lower,,Blainroe,County Wicklow,Ireland,A67 XR92
Abbeyland,,Clane,County Kildare,Ireland,W91 X9K3
Capdoo Commons,,Clane,County Kildare,Ireland,W91 D3C4
Tievelough,,Malahide,County Dublin,Ireland,K36 VY99
Newpark Lower,,Kilkenny,County Kilkenny,Ireland,
Banagher,,Piltown,County Kilkenny,Ireland,E32 NR44
Whitehall,Dublin 9,,County Dublin,Ireland,D09 YN72
Knockeevan,,Knockeevin,County Tipperary,Ireland,
,,Limerick,County Limerick,Ireland,
Monkstown,,Blackrock,County Dublin,Ireland,A94 P8K0
Williamstown,,Blackrock,County Dublin,Ireland,
,Dublin 8,,County Dublin,Ireland,D08 H2V9
Leadinton,,Leadington,County Cork,Ireland,
Drumcondra,Dublin 9,,County Dublin,Ireland,D09 RH70
Tankardstown,,Balbriggan,County Dublin,Ireland,K32 VF38
Piercetown,,Newbridge,County Kildare,Ireland,
Kilconny,,Belturbet,County Cavan,Ireland,H14 W656
Castaheany,,Clonee,County Dublin,Ireland,D15 RV02
,,Donabate,County Dublin,Ireland,
Clontarf,Dublin 3,,County Dublin,Ireland,D03 HK24
Whitehall,Dublin 12,,County Dublin,Ireland,D12 F2H1
Templeogue,Dublin 6W,,County Dublin,Ireland,D6W WK82
Ballintemple,,Cork,County Cork,Ireland,T12 C3V6
Kilsarlaght,,Kilsarlaught,County Cork,Ireland,
,,Newbridge,County Kildare,Ireland,W12 CY95
Sarsanstown,,Mullingar,County Westmeath,Ireland,N91 D27N
Shanowle,,Shanoule,County Wexford,Ireland,
Castlepaliser,,Carne,County Wexford,Ireland,Y35 W244
Drumcondra,Dublin 9,,County Dublin,Ireland,D09 N4A6
Ballybough,Dublin 9,,County Dublin,Ireland,D09 C7W5
Crokershill,,Kilkenny,County Kilkenny,Ireland,R95 RDP6
Townparks,,Longford,County Longford,Ireland,
Puttaghan,,Tullamore,County Offaly,Ireland,
Kilcruttin,,Tullamore,County Offaly,Ireland,
Binroe,,Benroe,County Donegal,Ireland,
Thurles Townparks,,Thurles,County Tipperary,Ireland,E41 H638
Lough Common,,Lusk,County Dublin,Ireland,K45 E727
Gully,,Bandon,County Cork,Ireland,P72 PX82
Ballyspillane,,Killarney,County Kerry,Ireland,V93 DK4R
Ballsbridge,,Dublin,County Dublin,Ireland,
Riverstown,,Glanmire,County Cork,Ireland,T45 EF61
,,Galway,County Galway,Ireland,
Esker South,,Lucan,County Dublin,Ireland,K78 VP30
Ballybofey,,Ballybofey,County Donegal,Ireland,F93 E7K2
Botanic,Dublin 9,,County Dublin,Ireland,D09 V3K7
Knockboy,,,County Tipperary,Ireland,
Townparks,,Birr,County Offaly,Ireland,R42 XP59
Gorey corporation lands,,Gorey,County Wexford,Ireland,Y25 E104
Cornerpark,,Newcastle,County Dublin,Ireland,D22 X002
Kineigh,,Kenneigh,County Kerry,Ireland,
Beenbane,,Waterville,County Kerry,Ireland,V23 CR23
,,Cross Barry,County Cork,Ireland,T12 E22E
Gortnaclohy,,Skibbereen,County Cork,Ireland,P81 KX37
