price,floor_area,bedroom,bathroom,place,type_house,longitude,latitude,city_district
900000.0,174,4,3,Dublin 9,house,-6.255979,53.366728,Botanic B ED
605000.0,130,4,4,Dublin 20,,-6.373148,53.358469,Palmerstown West ED
365000.0,122,4,3,Galway,house,-8.970839,53.275845,Ballybaan
295000.0,116,3,2,Cork city northside,house,-8.462712,51.931746,St. Mary's ED
950000.0,272,4,3,Dublin 15,house,-6.448056,53.397037,Dunboyne ED
395000.0,210,3,1,,house,-7.652275,53.21257,Killoughy ED
395000.0,152,4,3,Trim,house,-6.725637,53.5933,Bective ED
285000.0,111,3,3,Tullamore,house,-7.500182456737463,53.29158554363275,Tullamore Rural ED
275000.0,114,3,2,Tullamore,house,-7.500182456737463,53.29158554363275,Tullamore Rural ED
250000.0,105,3,3,Tullamore,house,-7.500182456737463,53.29158554363275,Tullamore Rural ED
350000.0,170,4,3,,,-6.401613,52.711569,Monaseed ED
275000.0,126,4,3,Midleton,house,-8.048153,51.914094,Ightermurragh
180000.0,76,2,2,Kells,house,-6.8750567,53.7317153,Ceanannas Mór Urban ED
1200000.0,165,4,1,Dublin 6,house,-6.258269,53.323085,Rathmines East D ED
1200000.0,178,4,2,Dunshaughlin,house,-6.471708,53.47075,Dunshaughlin ED
240000.0,90,3,2,Dundalk,house,-6.386325,53.8981,Castlebellingham ED
239500.0,88,3,1,Balbriggan,house,-6.187575,53.612287,Balbriggan Urban ED
340000.0,78,3,3,Swords,house,-6.201101,53.443291,Kinsaley ED
565000.0,138,4,3,Maynooth,house,-6.507531852019383,53.35993220079086,
500000.0,118,3,3,Maynooth,house,-6.50850649853578,53.359875972247096,Lucan ED
595000.0,234,5,4,Kilkenny,house,-7.257072,52.644036,
695000.0,157,4,4,Malahide,house,-6.185505,53.449811,Swords-Seatown ED
295000.0,114,4,1,,house,-9.131804,53.492998,Shrule ED
289000.0,159,4,4,,house,-9.096377,53.474234,Headford ED
195000.0,178,4,3,,house,-9.132372,53.497099,Shrule ED
545000.0,412,5,4,,house,-8.785382,53.193856,Rahasane ED
750000.0,250,4,4,Naas,house,-6.674751,53.348312,Balraheen ED
495000.0,130,4,3,Dunshaughlin,house,-6.543883,53.510025,Dunshaughlin ED
150000.0,138,4,1,,house,-7.832106,53.768167,Newtown Forbes ED
339000.0,125,4,3,Midleton,house,-8.230661796460765,51.82216362258271,Corkbeg ED
309000.0,110,3,3,Midleton,house,-8.230661796460765,51.82216362258271,Corkbeg ED
289000.0,92,3,2,Midleton,house,-8.230661796460765,51.82216362258271,Corkbeg ED
495000.0,226,4,3,Dunmanway,house,-8.884942234300496,51.70610752357007,Boulteen ED
850000.0,149,4,3,Malahide,house,-6.148025611706714,53.44347216249679,Malahide East ED
320000.0,100,3,4,Galway,house,-8.922598,53.257264,Clarinbridge ED
625000.0,120,3,3,Malahide,house,-6.148025611706714,53.44347216249679,Malahide East ED
350000.0,149,4,4,,,-9.290911,53.415924,Oughterard ED
750000.0,290,5,4,Galway,house,-9.120468,53.299645,Bearna
365000.0,210,4,3,,house,-9.048937,53.403725,Eanach Dhúin
625000.0,210,4,3,Drogheda,house,-6.247423,53.702817,Saint Mary's ED
550000.0,222,4,4,Galway,house,-9.068049,53.285298,Dangan
395000.0,230,4,4,Bandon,house,-8.732959,51.748699,Bandon ED
2500000.0,366,6,4,Dublin 13,house,-6.062202,53.382463,Howth ED
325000.0,196,4,3,Sligo,house,-8.382849,54.208804,Ballintogher West ED
180000.0,62,2,1,Kilkenny,house,-7.234523,52.664214,
370000.0,154,5,4,Rylane,house,-8.716585,51.995722,Gowlane
1100000.0,496,4,5,Limerick,house,-8.633775,52.622942,Roxborough
130000.0,61,2,1,Drogheda,house,-6.341993,53.713722,West Gate ED
345000.0,98,3,3,Naas,house,-6.658913,53.23746,Naas Urban ED
435000.0,173,4,3,Kilkenny,house,-7.2705129037048835,52.65921219756217,
410000.0,138,4,3,Kilkenny,house,-7.2705129037048835,52.65921219756217,
350000.0,127,4,3,Portlaoise,house,-7.270790859646041,53.03531025771622,Portlaoise Rural ED
330000.0,108,3,3,Portlaoise,house,-7.270790859646041,53.03531025771622,Portlaoise Rural ED
725000.0,153,3,3,Greystones,house,-6.084506826874161,53.12737070936103,Kilcoole ED
279950.0,95,3,3,Dundalk,house,-6.392855861972436,53.95895216214487,Haggardstown ED
224950.0,70,2,2,Dundalk,house,-6.392855861972436,53.95895216214487,Haggardstown ED
740000.0,140,4,3,Dublin 18,house,-6.150204,53.243961,Cabinteely-Loughlinstown ED
635000.0,121,3,2,Dublin 18,house,-6.143295,53.243152,Cabinteely-Loughlinstown ED
555000.0,87,2,2,Dublin 18,house,-6.155611,53.246234,Cabinteely-Loughlinstown ED
580000.0,141,4,3,Greystones,house,-6.08256378583016,53.12815660102234,Kilcoole ED
495000.0,119,3,3,Greystones,house,-6.08256378583016,53.12815660102234,Kilcoole ED
875000.0,279,4,4,Kilkenny,house,-7.297343,52.586433,Burnchurch
349950.0,81,3,1,Dublin 8,house,-6.312975,53.338149,Kilmainham C ED
485000.0,121,3,2,Dublin 11,house,-6.27786,53.383126,Ballygall B ED
450000.0,94,2,1,Dublin 9,house,-6.250758,53.370452,Drumcondra South A ED
295000.0,184,3,1,Carrick On Shannon,house,-8.092089,53.946783,
235000.0,169,4,3,Sligo,house,-8.404629,54.225681,Ballintogher West ED
140000.0,111,3,1,,house,-8.556549,53.760567,Coolougher ED
420000.0,251,5,4,Wexford,house,-6.51365,52.21956,Tomhaggard ED
295000.0,92,3,2,Kinsale,house,-8.533707,51.703118,Kinsale Rural
395000.0,128,3,2,Swords,house,-6.232888,53.454745,Swords-Forrest ED
675000.0,158,4,2,Dublin 14,house,-6.233555,53.291755,Dundrum-Taney ED
345000.0,130,4,3,Glanmire,house,-8.386337,51.922573,Caherlag ED
375000.0,123,3,2,Glanmire,house,-8.400895797602345,51.94105806529302,Rathcooney
350000.0,108,3,2,Glanmire,house,-8.400895797602345,51.94105806529302,Rathcooney
280000.0,101,3,3,,house,-6.815975010141557,53.00821738601758,Ballitore ED
240000.0,119,4,3,,house,-10.235626647837137,51.935181866436665,Caher ED
220000.0,120,3,3,,house,-10.235626647837137,51.935181866436665,Caher ED
270000.0,124,3,2,Kenmare,house,-9.464114008683936,52.05408715355304,Killarney Rural ED
270000.0,122,3,1,Kenmare,house,-9.464114008683936,52.05408715355304,Killarney Rural ED
685000.0,172,3,3,Dublin 20,house,-6.345854017963063,53.34792790249625,Palmerston ED
345000.0,141,4,3,Midleton,house,-8.051393088882037,51.932833887023776,Mogeely
345000.0,141,4,3,Midleton,house,-8.051393088882037,51.932833887023776,Mogeely
315000.0,102,3,3,Kells,house,-6.884168678808862,53.73537529218743,Ceanannas Mór Rural ED
265000.0,82,2,3,Kells,house,-6.884168678808862,53.73537529218743,Ceanannas Mór Rural ED
250000.0,87,2,2,Youghal,house,-7.999571909196248,51.94002018848553,Killeagh
240000.0,87,2,2,Youghal,house,-7.999571909196248,51.94002018848553,Killeagh
345000.0,102,3,3,Balbriggan,house,-6.26834,53.63023,Stamullin ED
345000.0,102,3,3,Balbriggan,house,-6.26834,53.63023,Stamullin ED
520000.0,213,4,2,Mullingar,house,-7.310122588856075,53.51984230644867,Castle ED
395000.0,160,4,2,Mullingar,house,-7.310122588856075,53.51984230644867,Castle ED
755000.0,122,3,2,Dublin 18,apartment,-6.174798375412792,53.27337565251915,Stillorgan ED
590000.0,88,2,2,Dublin 18,apartment,-6.174798375412792,53.27337565251915,Stillorgan ED
330000.0,128,3,2,,house,-7.980359,52.47884,Golden
360000.0,111,4,4,Limerick,house,-8.645634,52.62786,Ballycummin ED
545000.0,162,5,4,Trim,house,-6.772497,53.558702,Trim Rural ED
179000.0,91,3,2,Miltown Malbay,house,-8.971543,52.844062,Ennis Rural ED
380000.0,112,3,3,Naas,house,-6.693016,53.297403,Clane ED
795000.0,123,2,2,Dublin 8,house,-6.271332,53.330146,Wood Quay B ED
550000.0,132,4,1,Dublin 5,house,-6.148474,53.390428,Sutton ED
1400000.0,170,3,3,Dublin 6,house,-6.253539,53.313025,Rathmines and Rathgar East ED
595000.0,85,2,2,Blackrock,house,-6.199366,53.304236,Blackrock-Booterstown ED
175000.0,73,3,1,Portlaoise,,-7.565887,52.856248,Grantstown ED
235000.0,65,2,1,Limerick,apartment,-8.670248,52.633696,Ballycummin ED
190000.0,50,1,1,Limerick,apartment,-8.670248,52.633696,Ballycummin ED
320000.0,143,3,4,Waterford,house,-7.1362045526255145,52.26650106348072,Bilberry
750000.0,160,4,3,Dublin 18,house,-6.145767,53.255909,Cabinteely-Loughlinstown ED
740000.0,158,4,3,Dublin 18,house,-6.145767,53.255871,Cabinteely-Loughlinstown ED
595000.0,103,3,2,Dublin 14,apartment,-6.226621,53.295864,Clonskeagh-Roebuck ED
525000.0,81,2,2,Dublin 14,apartment,-6.226621,53.295864,Clonskeagh-Roebuck ED
475000.0,121,4,2,Swords,,-6.193284,53.423835,Balgriffin ED
160000.0,78,3,1,Cork city northside,house,-8.495236,51.905665,Churchfield ED
750000.0,275,5,5,Kilkenny,house,-7.257775,52.639812,Kilkenny Rural
495000.0,242,6,6,Limerick,house,-8.658496,52.672657,Limerick North Rural
425000.0,145,3,2,New Ross,house,-6.837243,52.198686,Fethard ED
470000.0,98,3,1,,house,-6.313173,53.313043,Terenure-Greentrees ED
235000.0,84,3,3,Nenagh,house,-8.202997,52.875412,Nenagh West Urban
260000.0,112,4,3,Kells,house,-6.887601,53.727478,Ceanannas Mór Rural ED
420000.0,250,5,3,Monaghan,house,-6.963508,54.233538,Monaghan Rural ED
695000.0,126,4,2,Dublin 9,house,-6.274423,53.364258,Cabra East A ED
235000.0,60,2,2,Glanmire,house,-8.384848,51.920785,Caherlag ED
275000.0,82,3,1,Dublin 24,house,-6.384621,53.289023,Tallaght-Springfield ED
270000.0,118,4,2,Enniscorthy,house,-6.594373295471655,52.513060644802266,Enniscorthy Rural ED
255000.0,112,3,2,Enniscorthy,house,-6.594373295471655,52.513060644802266,Enniscorthy Rural ED
469000.0,156,4,2,Kilkenny,house,-7.234891523568308,52.67189077477643,
429000.0,158,4,2,Kilkenny,house,-7.234891523568308,52.67189077477643,
285000.0,106,2,2,Kilkenny,,-7.268047941441438,52.64556987837384,
340000.0,142,4,3,Miltown Malbay,house,-8.768721306862489,52.748299556753125,Mountievers ED
310000.0,105,3,3,Kilkenny,house,-7.268047941441438,52.64556987837384,
255000.0,102,3,3,Wexford,house,-6.462498885578981,52.32500830205734,
250000.0,95,3,3,Wexford,house,-6.462498885578981,52.32500830205734,
185000.0,105,3,2,Carrick on Suir,house,-7.315405,52.333519,Fiddown
500000.0,153,4,3,Skibbereen,house,-9.48442,51.53049,Ballydehob ED
395000.0,189,3,3,Letterkenny,house,-7.692054,54.971052,Castlewray ED
285000.0,84,3,1,Dublin 15,house,-6.407156,53.393464,Blanchardstown-Coolmine ED
795000.0,267,4,2,,,-6.221467,53.023818,Oldtown ED
540000.0,82,3,2,Dublin 2,apartment,-6.239747,53.342728,
575000.0,207,4,3,Dungarvan,house,-7.645957,52.084981,Dungarvan Rural
575000.0,242,6,5,Kenmare,house,-9.505483,52.055091,
565000.0,201,5,3,Thurles,house,-7.800728,52.654304,Moycarky
139000.0,60,2,1,Sligo,house,-8.506714,54.206761,Ballysadare East ED
210000.0,105,3,2,Miltown Malbay,house,-8.976808,52.834522,Ennis Rural ED
239950.0,144,4,3,,house,-7.923197,53.855783,Drumod ED
195000.0,85,3,3,Tuam,house,-8.861501,53.517885,
315000.0,117,4,2,Garristown,house,-6.387176,53.603403,Ardcath ED
160000.0,81,2,1,,house,-6.697165,53.8497,Drumcondra ED
875000.0,165,4,2,Greystones,house,-6.083099,53.137694,Delgany ED
405000.0,101,3,3,Maynooth,house,-6.573676143088477,53.298780066426616,
385000.0,104,3,3,Maynooth,house,-6.573676143088477,53.298780066426616,
1225000.0,179,4,3,Galway,house,-9.065158,53.269067,Nun's Island
120000.0,80,2,1,,,-7.6028774,53.912597,Moyne ED
550000.0,99,3,2,Malahide,house,-6.180351,53.450315,Malahide-West ED
280000.0,242,4,2,,house,-9.109413,53.546504,Dalgan ED
650000.0,300,5,3,Dundalk,house,-6.393884,53.904718,Castlebellingham ED
495000.0,132,4,2,Dublin 9,house,-6.246469,53.383405,Drumcondra Rural ED
425000.0,207,5,3,Enniscorthy,house,-6.573256,52.510939,Enniscorthy Rural ED
450000.0,88,2,2,Dublin 6,apartment,-6.244024,53.317085,Rathmines East B ED
410000.0,167,4,3,Newbridge,house,-6.7891953,53.1520846,Droighead Nua Rural ED
260000.0,104,3,3,Shannon,house,-8.854136,52.716836,Clenagh ED
205000.0,166,4,3,Ballymote,house,-8.608365,54.167513,Coolaney ED
350000.0,177,4,2,Youghal,house,-7.734589,52.048488,Mountstuart
1150000.0,261,4,4,Cork city southside,house,-8.500053,51.896854,Sunday's Well A
355000.0,222,4,3,Kilkenny,house,-7.338165,52.807498,Ballyragget
500000.0,209,7,4,Limerick,,-8.476698,52.617666,Caherconlish West
350000.0,184,4,3,,house,-8.2813,52.628327,Bilboa ED
410000.0,105,3,3,Swords,house,-6.2336216,53.4666752,Swords ED
359000.0,116,4,3,Sligo,house,-8.49506,54.270027,Sligo West ED
445000.0,167,5,3,Dungarvan,house,-7.603396,52.098723,Dungarvan No 2 Urban
300000.0,117,3,3,Portlaoise,house,-7.325866782299499,53.03804794639119,Clondarrig ED
260000.0,108,3,3,Portlaoise,house,-7.325866782299499,53.03804794639119,Clondarrig ED
420000.0,112,3,2,Maynooth,house,-6.555605636795121,53.340545434028485,Celbridge ED
685000.0,274,5,4,Waterford,house,-7.065116154398595,52.230281388673234,Farranshoneen
645000.0,246,4,4,Waterford,house,-7.065116154398595,52.230281388673234,Farranshoneen
315000.0,127,4,3,Limerick,house,-8.583712013179934,52.64515933990487,Limerick South Rural
270000.0,100,3,3,Wicklow,house,-6.243042414603991,52.93527872588968,Rathdrum ED
245000.0,87,2,2,Wicklow,house,-6.243042414603991,52.93527872588968,Rathdrum ED
250000.0,134,3,2,Belturbet,house,-7.457050578212062,54.10004665320943,Belturbet Urban ED
795000.0,223,3,3,,house,-9.50401,52.74675,Doonbeg ED
295000.0,90,3,2,Dublin 15,house,-6.417749,53.389375,Clonsilla ED
165000.0,69,2,2,Waterford,apartment,-7.139316,52.160104,Tramore
395000.0,72,3,1,Dublin 7,house,-6.273474,53.359431,Arran Quay A ED
275000.0,83,3,1,Tullamore,house,-7.507525,53.265982,Tullamore Urban ED
525000.0,232,4,4,Trim,house,-6.920052,53.588044,Athboy ED
400000.0,113,4,3,Ballincollig,house,-8.614786,51.883612,Ballincollig - Carrigaline
295000.0,44,1,1,Malahide,apartment,-6.156239,53.451746,Malahide ED
525000.0,186,4,3,Kilkenny,house,-7.248676,52.66242,Kilkenny No.2 Urban
550000.0,74,2,2,Dublin 2,apartment,-6.238383,53.345585,
575000.0,185,4,3,Kenmare,house,-9.505843,52.047205,Killarney Rural ED
350000.0,83,3,1,Cork city southside,house,-8.453776,51.890533,Ballinlough ED C
450000.0,70,2,2,,house,-6.299988,53.341301,Ushers F ED
390000.0,232,5,3,,house,-7.450931,53.04808,Ballyfin ED
275000.0,106,3,3,Cork city southside,house,-8.343062,51.872336,Ballincollig - Carrigaline
295000.0,80,3,1,Cork city northside,house,-8.488609,51.900012,Sunday's Well B
1450000.0,310,5,3,Cork city southside,house,-8.517048,51.888312,Bishopstown ED C
430000.0,97,3,1,Bray,house,-6.123381,53.195893,Kilmacanoge ED
1650000.0,468,5,6,Wicklow,house,-6.160905,52.96286,Glenealy ED
465000.0,118,2,2,Dublin 18,apartment,-6.18367,53.244996,Cabinteely-Loughlinstown ED
1450000.0,250,5,5,Dun Laoghaire,house,-6.135329,53.293473,Dun Laoghaire-West Central ED
285000.0,62,2,1,Dublin 1,apartment,-6.261216,53.357912,Rotunda A ED
680000.0,286,4,3,Belturbet,house,-7.526358,54.096538,Ardue ED
449500.0,125,3,2,,house,-9.399481,52.933237,Ballysteen ED
895000.0,158,4,3,Dublin 6,house,-6.252408,53.314667,Rathmines and Rathgar East ED
279000.0,105,3,2,Bandon,house,-8.717015,51.748725,Inishannon
430000.0,84,3,1,Dublin 18,house,-6.170342,53.267135,Stillorgan ED
445000.0,145,3,3,Waterford,house,-6.968009,52.245819,Ballyhack ED
290000.0,96,3,3,Galway,house,-8.982584,53.280423,Ballybaan
395000.0,163,4,2,Tullamore,house,-7.503747,53.280894,Tullamore Urban ED
750000.0,278,6,5,Wicklow,house,-6.198214,52.872261,Cronebane ED
395000.0,197,5,2,Portlaoise,house,-7.307695,53.033992,Portlaoise Urban ED
560000.0,232,4,2,Lusk,house,-6.16774,53.527487,Holmpatrick ED
395000.0,143,4,2,Westport,house,-9.527846,53.790334,Westport Urban ED
1395000.0,254,5,3,Dublin 6,house,-6.250857,53.32403,Rathmines and Rathgar East ED
495000.0,405,5,5,,house,-9.127366,53.466688,Headford ED
185000.0,80,2,1,Bandon,house,-8.734324,51.749378,Bandon ED
325000.0,121,3,2,Dublin 15,apartment,-6.390955,53.37609,Castleknock-Knockmaroon ED
245000.0,113,3,2,,house,-9.10811,53.46628,Headford ED
825000.0,197,5,1,Cork city southside,house,-8.435343,51.888891,Ballinlough ED C
160000.0,71,2,1,Portlaoise,house,-7.195811,53.162544,Portarlington North ED
255000.0,80,2,1,Cork city southside,house,-8.472385,51.892274,Evergreen
497000.0,120,4,2,Lucan,house,-6.443388,53.355391,Lucan-Heights ED
750000.0,127,3,2,Dublin 9,house,-6.263471,53.36971,Botanic B ED
395000.0,159,5,2,Sligo,house,-8.495738,54.29633,Drumcliff West ED
525000.0,71,2,1,Dublin 7,house,-6.271371,53.355646,Inns Quay B ED
269000.0,132,4,2,Miltown Malbay,house,-8.986559,52.83198,Ennis Rural ED
165000.0,77,2,1,Portlaoise,house,-7.182554,53.158807,Portarlington ED
350000.0,185,5,3,,,-6.390521,52.504566,Bolaboy ED
1295000.0,419,5,4,Cork city southside,house,-8.418422,51.873455,Ballincollig - Carrigaline
300000.0,186,3,3,Bantry,house,-9.524376,51.620349,Durrus West
349500.0,90,3,1,Cork city northside,house,-8.445601,51.907865,Montenotte B
350000.0,62,2,1,Dublin 2,apartment,-6.243594,53.340312,
1600000.0,259,4,3,Dublin 6,house,-6.269578,53.319164,Rathmines West F ED
400000.0,160,4,1,Macroom,house,-8.967738,51.906582,Macroom Urban
325000.0,169,5,3,Arklow,house,-6.1705958,52.7840374,Arklow No 1 Urban ED
695000.0,123,3,2,Dublin 7,house,-6.292194,53.357593,Cabra East C ED
1350000.0,279,6,3,Dun Laoghaire,house,-6.116915,53.281438,Dún Laoghaire-Sandycove ED
175000.0,95,3,1,,house,-7.250316,53.923715,Crosskeys ED
390000.0,165,6,2,,house,-9.762336,52.369757,Ballynorig ED
590000.0,108,3,3,Dublin 15,house,-6.357736,53.37796,Blanchardstown ED
295000.0,134,4,3,Trim,house,-6.692556,53.642251,Navan Rural ED
305000.0,176,4,2,Bandon,,-8.751964,51.746885,Kilbrogan
395000.0,104,3,3,Dublin 3,apartment,-6.243353,53.364191,Drumcondra South A ED
185000.0,127,4,4,,house,-8.455723,54.429781,Cliffony North ED
375000.0,100,3,3,Dublin 15,house,-6.434268,53.402986,Blanchardstown-Blakestown ED
1100000.0,176,4,4,Dun Laoghaire,house,-6.123622,53.275873,Dun Laoghaire-Sallynoggin East ED
160000.0,113,2,1,,house,-8.206106,52.570517,Cappagh
235000.0,100,3,3,Drogheda,house,-6.346735,53.717107,Fair Gate ED
350000.0,241,5,2,,house,-8.27063,54.02659,Kilbryan ED
285000.0,80,3,2,Cork city southside,house,-8.454783,51.890952,Ballinlough ED A
325000.0,71,2,2,Dublin 12,house,-6.336565,53.329669,Clondalkin ED
230000.0,128,4,3,Tuam,house,-8.848419,53.525192,Tuam Rural ED
675000.0,124,3,2,Dublin 14,house,-6.30178,53.293808,Rathfarnham-Ballyroan ED
350000.0,216,6,2,Bagenalstown,house,-6.966622,52.67373,Sliguff ED
1095000.0,227,5,4,Dublin 14,house,-6.294915,53.294672,
325000.0,48,2,1,Dublin 8,apartment,-6.266331,53.343824,Royal Exchange A ED
750000.0,132,4,3,Dublin 15,house,-6.358932,53.374213,Blanchardstown ED
275000.0,103,3,2,Wexford,house,-6.460082,52.324032,
410000.0,94,3,3,Swords,house,-6.235673,53.454448,Swords-Forrest ED
265000.0,70,2,2,Swords,apartment,-6.217864,53.463705,Swords ED
265000.0,100,3,3,Drogheda,house,-6.250294,53.686535,Julianstown ED
470000.0,250,5,4,Portlaoise,house,-7.242113,53.158827,Hammerlane ED
375000.0,135,3,1,Letterkenny,,-7.740856,54.954444,Letterkenny Urban ED
395000.0,146,5,1,Letterkenny,house,-7.736404,54.949301,Letterkenny Urban ED
185000.0,67,2,2,Waterford,house,-7.142975,52.175573,Tramore
245000.0,53,2,1,Cork city southside,house,-8.464764,51.890999,Turner's Cross A
195000.0,131,4,2,,house,-9.443534,52.015553,Coolies ED
410000.0,59,3,1,Youghal,,-7.863788,51.940131,Youghal Rural
195000.0,95,3,2,Youghal,house,-7.859231,51.94276,Youghal Urban
695000.0,145,4,2,Malahide,house,-6.161876,53.450884,Malahide-West ED
350000.0,105,3,3,Dublin 3,house,-6.238223,53.357503,
640000.0,150,4,4,Dublin 18,house,-6.17792,53.249013,Cabinteely-Loughlinstown ED
850000.0,120,4,2,Dun Laoghaire,,-6.11278,53.277189,Dalkey Upper ED
575000.0,100,3,1,Dublin 16,house,-6.249989,53.273572,Ballinteer-Woodpark ED
495000.0,162,3,3,,house,-6.194412,53.426718,Kinsaley ED
300000.0,120,4,3,Glanmire,house,-8.376001,51.929166,Caherlag ED
285000.0,102,4,2,Glanmire,,-8.396737,51.944011,Riverstown
270000.0,76,2,1,Dublin 20,apartment,-6.412213,53.3583,Lucan-Esker Electoral Division
295000.0,101,3,3,Lucan,apartment,-6.4600202,53.3379071,Lucan-St. Helens ED
140000.0,60,3,1,Thurles,house,-7.801161,52.677714,Thurles Urban
575000.0,80,2,1,Dun Laoghaire,house,-6.104646,53.27858,Dalkey-Coliemore ED
295000.0,105,3,2,Cork city southside,house,-8.414879,51.871156,Ballincollig - Carrigaline
795000.0,163,5,1,Dublin 9,house,-6.268771,53.369712,Botanic B ED
550000.0,261,5,5,,house,-8.691038,52.057695,Dromore
250000.0,65,2,1,Dublin 15,apartment,-6.411067,53.403388,Blanchardstown-Blakestown ED
595000.0,237,3,2,,house,-7.008457,52.455582,The Rower
200000.0,102,4,3,Tullamore,house,-7.481142,53.270348,
285000.0,90,3,2,Tullamore,,-7.486603,53.282005,Tullamore Urban ED
490000.0,147,3,2,Limerick,house,-8.650808299587794,52.6655513769073,Castle D
400000.0,201,4,3,Trim,house,-6.645716,53.634885,Navan Rural ED
525000.0,145,4,2,Dunshaughlin,,-6.497212,53.509376,Ratoath ED
250000.0,70,2,1,Cork city northside,,-8.477664,51.901906,Shandon B
545000.0,170,4,2,Dublin 11,house,-6.284013,53.39551,Ballymun F ED
270000.0,70,2,1,Malahide,apartment,-6.15903,53.488253,Donabate ED
815000.0,96,3,3,Dublin 1,house,-6.22018,53.326414,Pembroke East E ED
335000.0,72,2,1,Dublin 4,apartment,-6.225649,53.344064,Pembroke East A ED
785000.0,353,5,6,Miltown Malbay,house,-9.050395,52.929035,Corrofin ED
375000.0,260,4,3,,,-7.354372,52.259932,Kilmeadan
470000.0,167,3,2,Waterford,house,-7.145211373663045,52.16658502308894,Tramore
295000.0,78,3,1,Dublin 3,house,-6.240011,53.357648,
450000.0,193,4,3,Naas,house,-6.562562,53.156543,Newtown ED
325000.0,127,4,1,Cork city southside,house,-8.471646,51.893744,South Gate A
489500.0,87,2,2,Dublin 14,apartment,-6.232906,53.298231,Clonskeagh-Roebuck ED
725000.0,232,4,3,Maynooth,house,-6.615357,53.424992,Kilmore ED
400000.0,135,4,3,Balbriggan,house,-6.26717,53.62645,Balscaddan ED
300000.0,154,5,2,Tuam,house,-8.851741,53.521944,Tuam Rural ED
355000.0,98,3,3,,house,-7.249099,52.656153,
180000.0,68,2,2,Kilkenny,apartment,-7.245998,52.656741,
290000.0,69,2,2,Dublin 9,apartment,-6.249535,53.406429,Airport ED
280000.0,204,4,4,,house,-7.813728,53.619604,Kilcommock ED
825000.0,217,5,3,,house,-6.395881,52.619878,Balloughter ED
700000.0,518,6,2,Gorey,house,-6.30329,52.680973,Gorey Rural ED
275000.0,90,4,1,Dublin 17,house,-6.197569,53.40216,Priorswood B ED
195000.0,60,3,1,Kells,,-6.8458998,53.7199114,Ceanannas Mór Rural ED
1375000.0,186,5,2,Dublin 13,,-6.089502,53.376043,Howth ED
450000.0,263,6,2,Waterford,house,-7.091457,52.241577,Grange Upper
350000.0,165,4,3,Enniscorthy,house,-6.465495,52.608464,Kilbora ED
395000.0,151,4,3,Cork city northside,house,-8.612136,51.925084,Matehy
265000.0,54,2,1,Dublin 5,apartment,-6.212704,53.383522,Beaumont C ED
525000.0,107,3,2,Malahide,house,-6.188218,53.452973,Swords-Seatown ED
275000.0,95,3,2,Cork city northside,house,-8.457731,51.918884,St. Mary's ED
850000.0,354,5,5,Ballyboughal,house,-6.297793,53.489769,Kilsallaghan ED
179000.0,90,3,1,New Ross,house,-6.959993,52.395686,Rosbercon
179000.0,90,3,2,New Ross,house,-6.958476,52.395252,Rosbercon
179000.0,91,3,2,New Ross,house,-6.958446,52.395207,Rosbercon
